Date,Tweet,Country
Mon May 13 09:41:10 +0000 2019,The NYMA was a place parents sent their incorrigible boys to get some measure of discipline they couldn\ enforce.\ ,"Key West, FL"
Mon May 13 09:40:55 +0000 2019," Ustedes los Manudos handan celebrando los drenajes del estadio y la cerveza en Ricardo, desen Vida Mis hijos.'""","Palm Beach Gardens, FL"
Mon May 13 09:40:28 +0000 2019,#verseoftheday @ The Porter House ,"Fruitville, FL"
Mon May 13 09:40:25 +0000 2019,"Real talk are u actually ready for EDC this year???'""","Miami, FL"
Mon May 13 09:40:24 +0000 2019,i think it\ best for me to take a break from twitter for a little. ,"Florida, USA"
Mon May 13 09:40:12 +0000 2019, I know I tried working in the am a few times and I bought them killed somebody and snapped on people\ ,"Florida, USA"
Mon May 13 09:40:11 +0000 2019, You ought to actually read the report and stop spreading self serving falsehoods. There absolutely\ ,"Lake Mary, FL"
Mon May 13 09:39:59 +0000 2019," Just respect'""","Port St Lucie, FL"
Mon May 13 09:39:49 +0000 2019,Mother\'s Day fun! Nothing better than time with our kids :) ,"Belle Glade, FL"
Mon May 13 09:41:56 +0000 2019," Since I am a teacher...the ability to know exactly how to reach each child and help them learn and grow.'""","Land O' Lakes, FL"
Mon May 13 09:41:37 +0000 2019,"Tati just hit 9 million right when I saw her post about her now uploading tomorrow. Icon tbh'""","Miami, FL"
Mon May 13 09:56:38 +0000 2019,Last few days to vote! \ ,"Odessa, FL"
Mon May 13 09:56:25 +0000 2019,"Yes, great job! Only I had him at 40-1 to win the tournament and we don\ give out participation trophies in Sports\ ","North Miami Beach, FL"
Mon May 13 09:56:24 +0000 2019,Two days till I get to see this view #wdw #peoplemover #momlife #birthdayboycelebration #CCV #OKW #cantwait\ ,"Florida, USA"
Mon May 13 09:56:24 +0000 2019,"Maybe they are gonna pull a Dallas classic and this whole season 7 will be a dream/nightmare that Jon is having? #GamefThrones'""","Panama City, FL"
Mon May 13 09:56:22 +0000 2019,Mucha atenci\ d recibir por whatsapp\\nmensaje de Manola De Rubeis:\\n\ listo y sin p\ a \\nrecogerse y\ ,"Margate, FL"
Mon May 13 09:56:21 +0000 2019,Hoy ser\ un gran d\ Mi querida  y yo estrenaremos nuestro programa de radio #ViVaLaVida a las 7 p\ ,"Sunny Isles Beach, FL"
Mon May 13 09:56:15 +0000 2019,I never understood why chewing gum during certain times/jobs/events/etc is considered rude or unprofessional... my\ ,"Orlando, FL"
Mon May 13 09:56:09 +0000 2019,"They need more   played in the strip club'""","Aventura, FL"
Mon May 13 09:56:07 +0000 2019,It\ a HUMID one!! \ ,"Tampa, FL"
