Date,Tweet,Country
Wed May 15 13:46:19 +0000 2019, Thanks - I probably should have posted that with the initial tweet.\\n\\nThere\'s always ways we could imp\ ,"Tonawanda, NY"
Wed May 15 13:46:17 +0000 2019, Thanks \,"Brooklyn, NY"
Wed May 15 13:46:14 +0000 2019,Right on ! ,"Manhattan, NY"
Wed May 15 13:46:13 +0000 2019,"Hi, if you\ a Facebook Marketing Partner who I neglected to chat with yesterday, DM me'""","Brooklyn, NY"
Wed May 15 13:46:12 +0000 2019,"    Ah, I only saw Friday\","New York, USA"
Wed May 15 13:46:12 +0000 2019,Thank you  ,"Manhattan, NY"
Wed May 15 13:46:10 +0000 2019,"  \ presenta una soluci\ porfa. No entiendo tu af\ en seguir discutiendo en vez de actuando.'""","Manhattan, NY"
Wed May 15 13:46:09 +0000 2019,"  THANK YOU'""","Queens, NY"
Wed May 15 13:46:08 +0000 2019," Thank you!!'""","Brooklyn, NY"
Wed May 15 13:46:07 +0000 2019, But she did nothing of the kind and is 1000% right. For the record HRC was talking about KKK & Nazis\ ,"Brooklyn, NY"
Wed May 15 13:46:07 +0000 2019,$4 for crappy drip coffee in the lobby at the  in downtown!? Come on. Thankfully  across the stre\ ,"Manhattan, NY"
Wed May 15 13:46:06 +0000 2019,"Just Going Keep Shit To Myself  ..'""","New York, USA"
Wed May 15 13:46:06 +0000 2019,"Empezar el mi\ con un \ de una madre cabreada, seguir con una reuni\ con tu jefe de divisi\ (\ continua\ ","Manhattan, NY"
Wed May 15 13:46:05 +0000 2019,"Unions....are complete bs, just like the healthcare system but that\'s two separate issues""'","Bronx, NY"
Wed May 15 13:46:00 +0000 2019,Yowie wowie loveeeeeeee this   ,"Staten Island, NY"
Wed May 15 13:46:00 +0000 2019,"  I like this picture of you'""","Lindenhurst, NY"
Wed May 15 13:45:58 +0000 2019, Thanks \,"Brooklyn, NY"
Wed May 15 13:45:55 +0000 2019,maybe i should get ready for work\,"Gordon Heights, NY"
Wed May 15 13:45:55 +0000 2019,"       Again, it\ not always the\ ","Manhattan, NY"
Wed May 15 13:45:53 +0000 2019, I\ going 6/8 \,"Manhattan, NY"
Wed May 15 13:45:52 +0000 2019, Preciate you Des \,"Brooklyn, NY"
Wed May 15 13:45:52 +0000 2019,"  How do they come up with this stuff?'""","Manhattan, NY"
Wed May 15 13:45:52 +0000 2019, The most inept (and that\'s a race to the bottom) member of #TrumpCrimeFamily speaks. Your opinions are i\ ,"New York, USA"
Wed May 15 13:45:52 +0000 2019,"     don\ know if you collect cards'""","Brooklyn, NY"
Wed May 15 13:45:50 +0000 2019," Thank you!'""","Bronx, NY"
Wed May 15 13:45:50 +0000 2019,"Silent men, women enablers - short term benefit only ","Manhattan, NY"
Wed May 15 13:45:49 +0000 2019,"If NCAA Football the game is back for the summer, cancel everything because I have to win a Heisman'""","Hempstead, NY"
Wed May 15 13:45:45 +0000 2019," Thank you!'""","Bronx, NY"
Wed May 15 13:45:43 +0000 2019,"Jeffree star proves you can be the ugliest rat looking person and still be called a make up artist'""","Bronx, NY"
Wed May 15 13:45:43 +0000 2019,i just want to say that in the video i have of the 2004 pippin concert  was the most perfect catherine\ ,"Manhattan, NY"
Wed May 15 13:45:41 +0000 2019, He can take it. Dude\ a vampire devil monster or something. He\ gonna coach from the catwalks while\ ,"Cheektowaga, NY"
