Date,Tweet,Country
Thu May 16 12:36:44 +0000 2019,"   Let\ Do This Tiger!!'""","Oxnard, CA"
Thu May 16 12:36:42 +0000 2019, Not enough coffee yet came on this tweet in the thread first and went \ had exploded and whil\ ,"San Diego, CA"
Thu May 16 12:36:38 +0000 2019,Leftists: omg don\ put children in cages to protect them from sex traffickers and fake parents. Also Leftists: let\ ,"Anaheim, CA"
Thu May 16 12:36:36 +0000 2019,"brainstorming my next move..'""","American Canyon, CA"
Thu May 16 12:36:36 +0000 2019,"  #LindseyTheLapdog'""","California, USA"
Thu May 16 12:36:34 +0000 2019,  1.03\,"Napa, CA"
Thu May 16 12:36:34 +0000 2019,No Missouri abortion laws wiped off the books from more crackers just like Bama and the rest more unwanted bastards\ ,"Larkfield, CA"
Thu May 16 12:36:33 +0000 2019,"      Que pasee lindo Miguelito y besosssss tiaaaaa'""","Long Beach, CA"
Thu May 16 12:36:29 +0000 2019,My post on Los Pistoleros. Alabama signs on to regulate women\'s bodies. But maybe since they are 45th on infant mor\ ,"California, USA"
Thu May 16 12:36:28 +0000 2019," They\ not in the playoffs, lol'""","Los Angeles, CA"
Thu May 16 12:36:28 +0000 2019, \,"Redlands, CA"
Thu May 16 12:36:27 +0000 2019,"This is Trump\ trade war with EU.'""","Hacienda Heights, CA"
Thu May 16 12:36:26 +0000 2019,"   You\'re distain for the Warriors is just fuel!""'","Stockton, CA"
Thu May 16 12:36:17 +0000 2019, Amen \,"Los Osos, CA"
Thu May 16 12:36:09 +0000 2019,  Could we be done with rain? I was just wondering. \,"Agoura Hills, CA"
Thu May 16 12:36:08 +0000 2019,"This is Trump\ trade war with China.'""","Hacienda Heights, CA"
Thu May 16 12:36:08 +0000 2019,First Kiss album I bought when I was a kid\ ,"Orosi, CA"
Thu May 16 12:36:08 +0000 2019," I think honestly most people haven\ upset each other, it\ been an open convo on twitter which has oddl\ ","San Diego, CA"
Thu May 16 12:36:06 +0000 2019, Heartbreaking. This is not who we are. ,"Castro Valley, CA"
Thu May 16 12:36:06 +0000 2019,You know you fucked up when somebody really loves you but you can\'t even love them back.. Ion know if y\'all know wh\ ,"Lynwood, CA"
Thu May 16 12:36:03 +0000 2019,Moron \ ,"California, USA"
Thu May 16 12:36:03 +0000 2019,"Biography of Lily Jamali ( co-host of  The California Report, featured in our Facebook (\ ","Los Angeles, CA"
Thu May 16 12:36:01 +0000 2019,"wow my sleep schedule is... FUCKED.'""","Temescal Valley, CA"
Thu May 16 12:36:00 +0000 2019,5 years ago me with classmates esiberkeley \\n#timehop #tbt #fiveyearsago #fiveyearsagotoday #berkeley @ English Stud\ ,"Berkeley, CA"
Thu May 16 12:35:50 +0000 2019,"'Jesus respondeu: ""Eu asseguro que, se voc\ tiverem f\ e n\ duvidarem, poder\ fazer n\ somente o que foi feito \ ","Los Angeles, CA"
Thu May 16 12:35:49 +0000 2019,     Menos mal que apenas me despierto y todavia no puse na\ ,"Long Beach, CA"
Thu May 16 12:35:47 +0000 2019,The Movement is happening!!! Youngbull!!! NBA get ready!!!  jump on!!! ,"Los Angeles, CA"
Thu May 16 12:35:37 +0000 2019,"Just posted a photo @ Carson, California ","Carson, CA"
Thu May 16 12:35:35 +0000 2019,"Yeah, you say I led you on, but you followed me\\nI follow one of your friends, you unfollow me...'""","Fresno, CA"
Thu May 16 12:35:34 +0000 2019,Waking at 4am to the sound of hellicopters and men pounding on the roof next door and your entire block lined with\ ,"West Hollywood, CA"
Thu May 16 12:35:33 +0000 2019, \,"Los Angeles, CA"
Thu May 16 12:35:33 +0000 2019, As cozy as you can get\,"San Diego, CA"
Thu May 16 12:35:24 +0000 2019, He is a liar and you know it.  You are just okay with the president destroying all our institutions.\ ,"San Marcos, CA"
Thu May 16 12:35:20 +0000 2019,Thread! And especially this bit. Local elections across the country are everything!\\n\\nCc  ,"San Francisco, CA"
Thu May 16 12:35:18 +0000 2019,"  Best economy in the world let them laugh'""","Antioch, CA"
Thu May 16 12:35:14 +0000 2019,  If you have the room in your heart that you claim to- spreading goodness I read could be\ ,"Los Angeles, CA"
Thu May 16 12:35:07 +0000 2019," Ohhh! I love how you have all this trivia!!'""","Fremont, CA"
Thu May 16 12:35:06 +0000 2019,Nuestro Fundador y CEO  comparte su vision con lectores de  Revista Industrias \ Febrero 2019\ ,"San Francisco, CA"
Thu May 16 12:35:06 +0000 2019,"They really making it ILLEGAL to walk across the street on you phone ??? \ they just making any laws now.'""","Sacramento, CA"
Thu May 16 12:35:03 +0000 2019, Everybody wave bye 2 Kodack!!\,"Tulare, CA"
Thu May 16 12:34:57 +0000 2019,Anotha day anotha couple dollas LGi \,"San Francisco, CA"
Thu May 16 12:34:56 +0000 2019," Lying Eyes. Eagles'""","Upland, CA"
Thu May 16 12:34:55 +0000 2019,Holokost anma etkinligi kapsaminda Lina Amato ve ailesinin Rodos\ kacis oykusunu ve cesur Turk diplomat Selahatt\ ,"Irvine, CA"
Thu May 16 12:34:55 +0000 2019,We had this conversation in  class - there is no shame in the path that is BEST for YOU! \ \ ,"Moorpark, CA"
Thu May 16 12:34:51 +0000 2019,Wants to be President.  Never read the constitution. ,"Anaheim, CA"
Thu May 16 12:34:48 +0000 2019," \ thanks! Exactly what I wanted to hear'""","Fremont, CA"
Thu May 16 12:34:42 +0000 2019,"First looks at The CW\ #NancyDrew, starring Kennedy McMann, and #Batwoman with Ruby Rose. (I spy a Batman suit...)\ ","Burbank, CA"
Thu May 16 12:34:38 +0000 2019," Now it\ laughable'""","Antioch, CA"
Thu May 16 12:34:32 +0000 2019, \,"San Jose, CA"
Thu May 16 12:34:31 +0000 2019," That should change.  \\nGovernment shouldn\'t be in the belief busi\\nThey should be in the adoption, facts and being small business""'","Riverside, CA"
Thu May 16 12:34:30 +0000 2019," Nooooooo \ no haz jugado bien haste que jueges con las mini sky bottles'""","Pico Rivera, CA"
Thu May 16 12:34:29 +0000 2019,Tiene que ser a toda la capacidad !!! Hay much\ gente que quiere ir!!!  #LaRojaFemenina ,"Los Angeles, CA"
Thu May 16 12:34:28 +0000 2019,"how many times did  strangle me?  are you aware? over 3x ~pay attention to a #killer cc  #REVENGEPORN'""","Los Angeles, CA"
Thu May 16 12:34:28 +0000 2019,#disney #creativedirection should definitely go the direction of #adamwarlock #infinitycrusade #ronLim #goldenboy m\ ,"Marina del Rey, CA"
